[Mon, 18 Apr 2016 02:46:11 EDT] Running ScrapeBookChaptersProcess with Session Name Harry Potter, English, 5 years old, >10 reviews, >2 reviews/chapter, April 17, 2016 - fix 2
[Mon, 18 Apr 2016 02:56:20 EDT] Scraping book: 11800318; Chapters: 5; Wait times: 1693, 2258, 2313, 1390, 1670, 
[Mon, 18 Apr 2016 02:56:44 EDT] Scraping book: 11800206; Chapters: 8; Wait times: 3931, 2227, 1420, 3211, 2433, 2331, 1881, 2176, 
[Mon, 18 Apr 2016 02:56:47 EDT] Scraping book: 11800125; Chapters: 1; Wait times: 2311, 
[Mon, 18 Apr 2016 02:56:50 EDT] Scraping book: 11799760; Chapters: 1; Wait times: 2735, 
[Mon, 18 Apr 2016 02:56:54 EDT] Scraping book: 11799418; Chapters: 1; Wait times: 2749, 
[Mon, 18 Apr 2016 02:56:57 EDT] Scraping book: 11799144; Chapters: 1; Wait times: 2805, 
[Mon, 18 Apr 2016 02:57:03 EDT] Scraping book: 11798863; Chapters: 2; Wait times: 1440, 3790, 
[Mon, 18 Apr 2016 02:57:11 EDT] Scraping book: 11797196; Chapters: 2; Wait times: 2771, 3711, 
[Mon, 18 Apr 2016 02:57:15 EDT] Scraping book: 11796070; Chapters: 1; Wait times: 3145, 
[Mon, 18 Apr 2016 02:57:15 EDT] Scraping book: 11795438; Chapters: 1; Wait times: 0, 
[Mon, 18 Apr 2016 02:57:33 EDT] Scraping book: 11795321; Chapters: 5; Wait times: 2582, 3873, 3086, 2418, 3541, 
[Mon, 18 Apr 2016 02:57:38 EDT] Scraping book: 11794186; Chapters: 1; Wait times: 4204, 
[Mon, 18 Apr 2016 02:57:45 EDT] Scraping book: 11793117; Chapters: 2; Wait times: 3364, 2513, 
[Mon, 18 Apr 2016 02:57:48 EDT] Scraping book: 11788997; Chapters: 1; Wait times: 2421, 
[Mon, 18 Apr 2016 02:57:53 EDT] Scraping book: 11785439; Chapters: 1; Wait times: 4225, 
[Mon, 18 Apr 2016 02:58:09 EDT] Scraping book: 11785360; Chapters: 7; Wait times: 1516, 2951, 1147, 2707, 666, 2243, 1791, 
[Mon, 18 Apr 2016 02:58:15 EDT] Scraping book: 11784902; Chapters: 2; Wait times: 2277, 2566, 
[Mon, 18 Apr 2016 02:58:33 EDT] Scraping book: 11784900; Chapters: 7; Wait times: 2358, 1949, 2823, 1567, 395, 2899, 3128, 
[Mon, 18 Apr 2016 02:58:45 EDT] Scraping book: 11784572; Chapters: 3; Wait times: 2200, 5169, 2729, 
[Mon, 18 Apr 2016 02:58:59 EDT] Scraping book: 11783915; Chapters: 4; Wait times: 2607, 2230, 4277, 2730, 
[Mon, 18 Apr 2016 02:59:17 EDT] Scraping book: 11782907; Chapters: 5; Wait times: 3745, 3032, 3455, 1818, 3250, 
[Mon, 18 Apr 2016 02:59:32 EDT] Scraping book: 11781856; Chapters: 5; Wait times: 2234, 4316, 2487, 1328, 3006, 
[Mon, 18 Apr 2016 02:59:52 EDT] Scraping book: 11781616; Chapters: 7; Wait times: 3163, 874, 2306, 3509, 1303, 2352, 1763, 
[Mon, 18 Apr 2016 02:59:55 EDT] Scraping book: 11781454; Chapters: 1; Wait times: 3015, 
[Mon, 18 Apr 2016 02:59:59 EDT] Scraping book: 11780194; Chapters: 1; Wait times: 3007, 
[Mon, 18 Apr 2016 03:00:01 EDT] Scraping book: 11780186; Chapters: 1; Wait times: 2112, 
[Mon, 18 Apr 2016 03:00:14 EDT] Scraping book: 11778147; Chapters: 4; Wait times: 3259, 3238, 1398, 2654, 
[Mon, 18 Apr 2016 03:00:16 EDT] Scraping book: 11777999; Chapters: 1; Wait times: 1994, 
[Mon, 18 Apr 2016 03:00:19 EDT] Scraping book: 11776313; Chapters: 1; Wait times: 2283, 
[Mon, 18 Apr 2016 03:00:22 EDT] Scraping book: 11776104; Chapters: 1; Wait times: 2381, 
[Mon, 18 Apr 2016 03:00:23 EDT] Scraping book: 11775012; Chapters: 1; Wait times: 925, 
[Mon, 18 Apr 2016 03:00:58 EDT] Scraping book: 11774986; Chapters: 13; Wait times: 2336, 2168, 2649, 2374, 2641, 1263, 1634, 1927, 2927, 1362, 2869, 3123, 1544, 
[Mon, 18 Apr 2016 03:01:22 EDT] Scraping book: 11772554; Chapters: 8; Wait times: 708, 3294, 2385, 4146, 2162, 2445, 1275, 2389, 
[Mon, 18 Apr 2016 03:01:24 EDT] Scraping book: 11770466; Chapters: 1; Wait times: 2122, 
[Mon, 18 Apr 2016 03:01:27 EDT] Scraping book: 11769671; Chapters: 1; Wait times: 2333, 
[Mon, 18 Apr 2016 03:01:28 EDT] Scraping book: 11768832; Chapters: 1; Wait times: 835, 
[Mon, 18 Apr 2016 03:01:38 EDT] Scraping book: 11767680; Chapters: 3; Wait times: 3393, 1651, 3057, 
[Mon, 18 Apr 2016 03:02:40 EDT] Scraping book: 11767510; Chapters: 19; Wait times: 2975, 1893, 3626, 2605, 3563, 2393, 1695, 2978, 1173, 4033, 4029, 3594, 3089, 3185, 1847, 1707, 2707, 2093, 2337, 
[Mon, 18 Apr 2016 03:02:43 EDT] Scraping book: 11766644; Chapters: 1; Wait times: 2580, 
[Mon, 18 Apr 2016 03:02:46 EDT] Scraping book: 11766211; Chapters: 1; Wait times: 3318, 
[Mon, 18 Apr 2016 03:02:53 EDT] Scraping book: 11765937; Chapters: 2; Wait times: 2752, 2360, 
[Mon, 18 Apr 2016 03:04:15 EDT] Scraping book: 11765455; Chapters: 29; Wait times: 1817, 1350, 2597, 1551, 3556, 1263, 4041, 2464, 3550, 3550, 3755, 1315, 2105, 2872, 580, 3205, 867, 1350, 3250, 2523, 1769, 1933, 2884, 1808, 3047, 1949, 3259, 2786, 1538, 
[Mon, 18 Apr 2016 03:04:30 EDT] Scraping book: 11765450; Chapters: 6; Wait times: 2099, 3803, 1926, 3183, 0, 954, 
[Mon, 18 Apr 2016 03:04:32 EDT] Scraping book: 11765386; Chapters: 1; Wait times: 1656, 
[Mon, 18 Apr 2016 03:04:34 EDT] Scraping book: 11765301; Chapters: 1; Wait times: 795, 
[Mon, 18 Apr 2016 03:04:36 EDT] Scraping book: 11765155; Chapters: 1; Wait times: 1438, 
[Mon, 18 Apr 2016 03:04:38 EDT] Scraping book: 11764672; Chapters: 1; Wait times: 1916, 
[Mon, 18 Apr 2016 03:04:42 EDT] Scraping book: 11764234; Chapters: 1; Wait times: 3303, 
[Mon, 18 Apr 2016 03:04:45 EDT] Scraping book: 11763903; Chapters: 1; Wait times: 2254, 
[Mon, 18 Apr 2016 03:04:51 EDT] Scraping book: 11762997; Chapters: 2; Wait times: 3743, 1176, 
[Mon, 18 Apr 2016 03:04:54 EDT] Scraping book: 11762681; Chapters: 1; Wait times: 3007, 
[Mon, 18 Apr 2016 03:05:08 EDT] Scraping book: 11761403; Chapters: 6; Wait times: 1692, 598, 2831, 1867, 1222, 2046, 
[Mon, 18 Apr 2016 03:05:10 EDT] Scraping book: 11760788; Chapters: 1; Wait times: 1141, 
[Mon, 18 Apr 2016 03:05:19 EDT] Scraping book: 11759846; Chapters: 4; Wait times: 2130, 470, 1386, 3965, 
[Mon, 18 Apr 2016 03:05:38 EDT] Scraping book: 11759475; Chapters: 5; Wait times: 1893, 3040, 2814, 3880, 3553, 
[Mon, 18 Apr 2016 03:05:41 EDT] Scraping book: 11757291; Chapters: 1; Wait times: 2551, 
[Mon, 18 Apr 2016 03:05:44 EDT] Scraping book: 11757291; Chapters: 1; Wait times: 3102, 
[Mon, 18 Apr 2016 03:05:47 EDT] Scraping book: 11756565; Chapters: 1; Wait times: 1837, 
[Mon, 18 Apr 2016 03:05:51 EDT] Scraping book: 11756562; Chapters: 1; Wait times: 3154, 
[Mon, 18 Apr 2016 03:06:07 EDT] Scraping book: 11756166; Chapters: 5; Wait times: 2029, 3283, 1975, 4071, 2279, 
[Mon, 18 Apr 2016 03:06:30 EDT] Scraping book: 11755378; Chapters: 7; Wait times: 1488, 4255, 2697, 4701, 3057, 2253, 1858, 
[Mon, 18 Apr 2016 03:06:33 EDT] Scraping book: 11754797; Chapters: 1; Wait times: 2487, 
[Mon, 18 Apr 2016 03:07:23 EDT] Scraping book: 11753470; Chapters: 17; Wait times: 1415, 3679, 2391, 1896, 1909, 2278, 1390, 2193, 3486, 2403, 2925, 2047, 4007, 3418, 1389, 1099, 3070, 
[Mon, 18 Apr 2016 03:08:26 EDT] Scraping book: 11753446; Chapters: 19; Wait times: 2578, 4202, 2152, 4342, 2319, 2289, 1443, 3478, 2310, 2261, 2551, 2427, 2608, 3993, 1781, 2837, 2517, 1996, 3557, 
[Mon, 18 Apr 2016 03:08:28 EDT] Scraping book: 11752752; Chapters: 1; Wait times: 1067, 
[Mon, 18 Apr 2016 03:08:31 EDT] Scraping book: 11751779; Chapters: 1; Wait times: 2641, 
[Mon, 18 Apr 2016 03:08:34 EDT] Scraping book: 11749787; Chapters: 1; Wait times: 3216, 
[Mon, 18 Apr 2016 03:08:46 EDT] Scraping book: 11748922; Chapters: 3; Wait times: 3445, 4191, 1878, 
[Mon, 18 Apr 2016 03:09:41 EDT] Scraping book: 11748608; Chapters: 18; Wait times: 1413, 2946, 3119, 3056, 2603, 3406, 3012, 3269, 3245, 2156, 2443, 2743, 2165, 2952, 1471, 1930, 3495, 1483, 
[Mon, 18 Apr 2016 03:09:51 EDT] Scraping book: 11748221; Chapters: 3; Wait times: 1042, 3654, 3366, 
[Mon, 18 Apr 2016 03:10:00 EDT] Scraping book: 11748021; Chapters: 3; Wait times: 1987, 2548, 3044, 
[Mon, 18 Apr 2016 03:10:04 EDT] Scraping book: 11747501; Chapters: 1; Wait times: 3830, 
[Mon, 18 Apr 2016 03:10:07 EDT] Scraping book: 11745878; Chapters: 1; Wait times: 1860, 
[Mon, 18 Apr 2016 03:10:09 EDT] Scraping book: 11745660; Chapters: 1; Wait times: 2190, 
[Mon, 18 Apr 2016 03:10:13 EDT] Scraping book: 11745620; Chapters: 1; Wait times: 3321, 
[Mon, 18 Apr 2016 03:10:44 EDT] Scraping book: 11743651; Chapters: 10; Wait times: 1752, 2946, 3760, 2003, 3333, 2737, 2302, 2860, 977, 2856, 
[Mon, 18 Apr 2016 03:10:49 EDT] Scraping book: 11743468; Chapters: 1; Wait times: 4218, 
[Mon, 18 Apr 2016 03:11:00 EDT] Scraping book: 11742766; Chapters: 3; Wait times: 3431, 2950, 2665, 
[Mon, 18 Apr 2016 03:11:33 EDT] Scraping book: 11742400; Chapters: 12; Wait times: 2666, 1354, 3380, 2708, 1678, 835, 1072, 2529, 1864, 2315, 1254, 3718, 
[Mon, 18 Apr 2016 03:11:34 EDT] Scraping book: 11742280; Chapters: 1; Wait times: 458, 
[Mon, 18 Apr 2016 03:12:09 EDT] Scraping book: 11741537; Chapters: 11; Wait times: 3839, 3267, 2672, 0, 3608, 4564, 2538, 2060, 1550, 2336, 3181, 
[Mon, 18 Apr 2016 03:12:29 EDT] Scraping book: 11741109; Chapters: 5; Wait times: 3685, 4407, 3707, 2197, 3293, 
[Mon, 18 Apr 2016 03:12:32 EDT] Scraping book: 11740372; Chapters: 1; Wait times: 2760, 
[Mon, 18 Apr 2016 03:12:36 EDT] Scraping book: 11739899; Chapters: 2; Wait times: 2285, 0, 
[Mon, 18 Apr 2016 03:12:44 EDT] Scraping book: 11738896; Chapters: 4; Wait times: 1570, 1789, 819, 2212, 
[Mon, 18 Apr 2016 03:13:30 EDT] Scraping book: 11738330; Chapters: 16; Wait times: 1501, 3369, 2818, 1828, 2282, 2512, 3440, 920, 3510, 1232, 2574, 3116, 2642, 1596, 2072, 2687, 
[Mon, 18 Apr 2016 03:13:56 EDT] Scraping book: 11738180; Chapters: 9; Wait times: 3203, 2002, 1787, 1579, 3406, 88, 3162, 4136, 2846, 
[Mon, 18 Apr 2016 03:14:27 EDT] Scraping book: 11737638; Chapters: 9; Wait times: 5218, 4201, 2264, 2252, 2730, 1317, 2277, 1345, 1567, 
[Mon, 18 Apr 2016 03:14:29 EDT] Scraping book: 11737388; Chapters: 1; Wait times: 2196, 
[Mon, 18 Apr 2016 03:14:32 EDT] Scraping book: 11737332; Chapters: 1; Wait times: 2406, 
[Mon, 18 Apr 2016 03:14:45 EDT] Scraping book: 11735463; Chapters: 5; Wait times: 1633, 355, 2976, 1453, 4254, 
[Mon, 18 Apr 2016 03:14:54 EDT] Scraping book: 11735224; Chapters: 3; Wait times: 1955, 2900, 2283, 
[Mon, 18 Apr 2016 03:14:56 EDT] Scraping book: 11735071; Chapters: 1; Wait times: 1134, 
[Mon, 18 Apr 2016 03:15:14 EDT] Scraping book: 11734412; Chapters: 7; Wait times: 1908, 1991, 2307, 2198, 3557, 1954, 1309, 
